X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83
5863,2246,3756,456,5456,5878,5620,5935,5821,5615,4946,5510,4381,4638,3198,5578,4250,4806,3979,1317,4470,2009,1010,3580,5739,1088,3761,3961,5683,3196,2647,5404,4968,5529,5451,4915,5087,4862,5203,4943,0,6169,5260,1839,4236,4824,3017,5449,5426,5124,5011,5141,6283,4681,5391,1850,2477,4136,5372,4606,5473,5613,5054,4279,4659,4465,3375,5464,4950,5233,1700,5215,3049,4386,3275,4903,5141,5426,4198,3023,5073,3606
2253,4905,2667,6625,2710,2730,2462,2462,2247,1368,2467,3825,2087,1848,9484,2512,2042,4791,2338,5138,1994,4503,7179,7434,2100,5081,2418,9868,2209,9103,8554,2199,2508,1279,1040,1415,2072,1565,1491,1476,6169,0,1141,4620,1944,614,3155,1245,1035,1433,11297,1246,2395,1665,957,4319,3692,2562,1166,1817,724,1814,1423,2180,1911,10372,2794,801,1531,1139,4627,1222,3120,2099,3046,1436,1246,1035,6592,8930,3388,3885
1501,3862,1578,5716,1958,1697,1710,1710,1495,1092,1647,3001,1089,819,7786,1760,1044,3731,1347,4229,996,3594,6270,6939,1348,4172,1587,8959,1457,8194,7645,1379,1512,625,222,417,1076,745,588,561,5260,1141,0,3711,1123,578,2246,474,811,461,10254,272,2119,667,776,3410,2783,1473,320,728,839,473,389,1091,859,9463,1885,340,479,337,3718,133,2211,1065,2059,532,272,811,6352,8021,2564,2795
4314,573,2207,2295,3907,4292,4071,4387,4272,4066,3397,3925,2832,3089,4774,4029,2701,3234,2430,694,2921,437,2849,4511,4190,751,2212,5538,4134,4773,4224,3855,3419,3980,3902,3366,3538,3313,3654,3394,1839,4620,3711,0,2687,3275,1468,3900,3877,3575,6587,3592,4734,3132,3842,301,928,2587,3831,3057,3924,4064,3513,2730,3110,6042,1826,3915,3401,3684,297,3666,1500,2837,1726,3354,3592,3877,4720,4600,3488,2021
2388,4009,1021,4692,2454,2260,2597,2516,2382,1390,721,2001,873,780,8588,2576,742,3668,405,3205,934,2570,5246,7049,2235,3148,485,7935,2263,7170,6621,1179,1966,1594,1314,706,1667,637,1367,718,4236,1944,1123,2687,0,599,1222,1434,1201,1288,10401,993,2058,456,1166,2386,1759,1410,1280,948,1247,1949,979,1223,1290,8439,861,1327,1258,1055,2694,1093,1187,977,1113,678,993,1201,6436,6997,1564,1653
1915,3464,1609,5280,2306,2107,2124,2124,1909,854,1201,2561,920,681,8252,2174,875,3764,993,3793,827,3158,5834,6476,1762,3736,1073,8523,1871,7758,7209,933,1818,1121,769,269,1382,299,894,131,4824,614,578,3275,599,0,1810,961,614,815,9854,406,1357,579,579,2974,2347,1506,807,849,660,1476,506,1124,1165,9027,1449,782,785,468,3282,620,1775,979,1701,91,406,614,5913,7585,2124,2258
2846,1644,739,3473,2439,2735,2603,2919,2804,2601,1932,3201,1367,1624,6223,2561,1236,2811,965,1986,1456,1351,4027,5598,2722,1929,747,6716,2666,5951,5402,2390,1951,2512,2437,1901,2070,1848,2186,1929,3017,3155,2246,1468,1222,1810,0,2432,2412,2107,8036,2127,3269,1667,2377,1167,540,1119,2363,1589,2458,2596,2045,1262,1642,7220,361,2450,1933,2219,1475,2198,530,1369,258,1889,2127,2412,5472,5778,2765,862
1064,3880,1693,5905,1521,1481,1273,1273,1058,1491,1992,3338,1387,1011,8877,1323,1342,3759,1645,4418,1294,3783,6459,7196,911,4361,1908,9148,1020,8383,7834,1724,1346,160,286,728,902,1090,246,872,5449,1245,474,3900,1434,961,2432,0,1210,337,10272,646,2518,978,1162,3599,2972,1588,154,846,1103,625,616,1206,879,9652,2183,543,499,736,3907,345,2509,1246,2174,876,646,1210,6648,8210,2901,3058
2222,4382,2178,5882,2670,2475,2431,2431,2216,393,1492,2988,1522,1283,8961,2481,1477,4333,1595,4395,1429,3760,6436,6639,2069,4338,1675,9125,2178,8360,7811,1224,2182,1338,935,864,1746,590,1258,733,5426,1035,811,3877,1201,614,2412,1210,0,1179,10765,639,1420,1023,183,3576,2949,2075,1056,1385,311,1783,872,1693,1529,9629,2041,745,1149,474,3884,869,2377,1548,2303,693,639,0,5886,8187,2551,3142
1176,3574,1368,5580,1563,1370,1385,1385,1170,1460,1846,3154,1153,686,7650,1435,1108,3434,1411,4093,1060,3458,6134,6982,1023,4036,1752,8823,1132,8058,7509,1578,1075,432,400,582,639,944,151,726,5124,1433,461,3575,1288,815,2107,337,1179,0,9961,610,2457,832,1144,3274,2647,1263,273,521,1216,737,311,881,554,9327,1949,656,174,705,3582,342,2275,921,1849,731,610,1179,6479,7885,2717,2744
