,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г.Москва,Республика Карелия,Республика Коми,Архангельская область,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г.Санкт-Петербург,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Республика Дагестан,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Тюменская область,Челябинская область,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский автономный округ,Ненецкий авт.округ (Нарьян-Мар),Республика Ингушетия (Магас),Ханты-Мансийский авт.округ-Югра,Ямало-Ненецкий авт.округ
Астраханская область,1347,1475,1585,1126,1729,1512,1818,1346,1075,1613,1348,1314,1731,1056,1708,1393,1734,1613,2463,2659,2581,1947,2508,2182,3460,2147,2228,2182,1013,1084,1083,0,450,995,488,652,789,610,999,1479,1446,1186,1401,1704,1521,2071,1966,1510,1270,1021,956,676,1132,1951,1945,2123,1693,3422,5424,2789,3807,3115,5978,3880,4968,3419,3118,2491,3426,8002,7164,8667,7902,7353,9814,9171,7729,6914,1986,574,3176,3835
Волгоградская область,897,1039,1149,690,1293,1076,1382,902,639,1177,912,878,1295,654,1272,957,1298,1177,2027,2360,2145,1511,2072,1746,3024,1711,1792,1746,795,868,671,450,0,545,938,1004,853,1054,615,1331,1198,887,1153,1456,1261,1823,1667,1211,1185,722,844,428,884,2070,1938,1938,1812,3646,5543,3141,4056,3421,6097,3999,5087,3538,3237,2610,3545,8189,7121,8786,8021,7472,10003,9290,7848,6766,2973,794,2751,3410
Ростовская область,575,911,1243,653,1387,473,1476,625,737,1214,779,1021,1168,891,1309,943,1392,1214,2064,2507,2239,1605,1814,1783,3091,1748,1728,1783,439,648,286,995,545,0,896,648,433,698,395,1857,1724,1301,1679,1982,1675,2349,1949,1493,1711,1136,1370,954,1410,2596,2464,2768,2338,3589,6069,3686,4582,3947,6623,4525,5613,4064,3763,3136,4071,8256,6582,9312,8547,7998,9981,9816,8374,6005,3445,697,3220,3882
Республика Дагестан (Махачкала),1471,1807,2073,1533,2217,1958,2306,1521,1563,2101,1675,1802,2064,1544,2196,1839,2222,2101,2951,3147,3069,2435,2710,2670,3948,2635,2624,2670,721,792,791,488,938,896,0,360,561,288,707,1967,1934,1674,1889,2192,2009,2559,2454,1998,1758,1509,1444,1164,1620,2439,2433,2611,2181,4004,5912,3277,4295,3603,6466,4368,5456,3907,3606,2979,3914,8583,7484,9155,8390,7841,10396,9659,8217,7277,3805,258,3583,4242
Кабардино-Балкарская Республика (Нальчик),1223,1559,1891,1285,2035,1710,2124,1273,1385,1862,1427,1659,1816,1522,1957,1591,2040,1862,2712,3155,2887,2253,2462,2431,3739,2396,2376,2431,473,544,543,652,1004,648,360,0,313,132,459,2131,2098,1838,2053,2356,2173,2723,2597,2141,1922,1673,1608,1328,1784,2603,2597,2775,2345,4048,6076,3441,4459,3767,6630,4532,5620,4071,3770,3143,4078,8627,7628,9319,8554,8005,10440,9823,8381,7335,3676,118,3454,4113
Карачаево-Черкесская Республика (Черкесск),1008,1344,1676,1070,1820,1495,1909,1058,1170,1647,1212,1444,1601,1307,1742,1376,1825,1647,2497,2940,2672,2038,2247,2216,3524,2181,2161,2216,258,599,328,789,853,433,561,313,0,363,346,2101,1968,1657,1923,2226,2031,2593,2382,1926,1955,1492,1614,1198,1654,2804,2708,2976,2546,4115,6277,3642,4660,3968,6831,4733,5821,4272,3971,3344,4279,8706,7634,9520,8755,8206,10507,10024,8582,7299,3648,299,3426,4085
Республика Северная Осетия - Алания (Владикавказ),1273,1609,1941,1335,2085,1760,2174,1323,1435,1912,1477,1709,1866,1572,2007,1641,2090,1912,2762,3205,2937,2303,2512,2481,3789,2446,2426,2481,523,594,593,610,1054,698,288,132,363,0,509,2089,2056,1796,2011,2314,2131,2681,2576,2120,1880,1631,1566,1286,1742,2561,2555,2733,2303,4014,6034,3399,4417,3725,6588,4490,5578,4029,3728,3101,4036,8593,7618,9277,8512,7963,10406,9781,8339,7353,3761,28,3539,4198
Ставропольский край,970,1306,1638,1032,1782,1457,1871,1020,1132,1609,1174,1406,1563,1250,1704,1338,1787,1609,2459,2902,2634,2000,2209,2178,3486,2143,2123,2178,352,285,290,999,615,395,707,459,346,509,0,1927,1794,1483,1749,2052,1857,2419,2263,1807,1781,1318,1440,1024,1480,2666,2534,2838,2408,4003,6139,3756,4652,4017,6693,4595,5683,4134,3833,3206,4141,8584,7563,9382,8617,8068,10397,9886,8444,7215,3538,381,3316,3974
Республика Башкортостан (Уфа),1773,1748,1433,1447,1484,1578,1609,1693,1368,1612,1624,1306,1866,1194,1704,1459,1618,1612,2400,1731,2189,1647,2667,2178,3068,2143,224,2178,2107,2180,1983,1479,1331,1857,1967,2131,2101,2089,1927,0,944,928,887,616,1019,851,1021,1252,409,850,523,903,630,739,607,911,481,2328,4212,2667,2725,2090,4766,2668,3756,2207,1906,1279,2214,6907,6098,7455,6690,6141,8720,7959,6517,5834,2304,2050,1507,2741
Республика Марий Эл (Йошкар-Ола),1547,1280,744,1232,795,1089,920,1387,1153,970,1233,897,1293,979,1062,1046,929,970,1762,1583,1784,1150,2087,1522,2663,1487,1568,1522,1974,2047,1850,1446,1198,1724,1934,2098,1968,2056,1794,944,0,467,165,468,299,835,873,571,956,635,574,770,314,1367,1006,1332,1258,3008,4837,3214,3350,2715,5391,3293,4381,2832,2531,1904,2839,7587,6298,8080,7315,6766,9400,8584,7142,5865,1847,1921,1816,2284
Республика Мордовия (Саранск),1091,1001,505,765,556,819,681,1011,686,731,892,430,1054,512,823,712,690,731,1523,1473,1545,911,1848,1283,2424,1248,1329,1283,1663,1736,1539,1186,887,1301,1674,1838,1657,1796,1483,928,467,0,422,725,374,1092,780,324,825,168,443,510,298,1624,1263,1589,1409,3173,5094,3083,3607,2972,5648,3550,4638,3089,2788,2161,3096,7752,6616,8337,7572,7023,9634,8841,7399,6183,2282,1507,2187,2719
Республика Татарстан (Казань),1502,1235,699,1187,750,1044,875,1342,1108,925,1188,852,1248,934,1017,1001,884,925,1717,1452,1739,1105,2042,1477,2618,1442,1523,1477,1929,2002,1805,1401,1153,1679,1889,2053,1923,2011,1749,887,165,422,0,337,254,704,742,526,911,590,529,725,269,1236,875,1201,1127,2856,4706,3169,3219,2584,5260,3162,4250,2701,2400,1773,2708,7435,6316,7949,7184,6635,9248,8453,7011,5918,1997,1833,1871,2434
Удмуртская Республика (Ижевск),1805,1538,1002,1490,1053,1347,993,1645,1411,1228,1491,1155,1551,1237,1320,1304,1072,1228,1784,1115,1573,1031,2338,1595,2452,1560,1641,1595,2232,2305,2108,1704,1456,1982,2192,2356,2226,2314,2052,616,468,725,337,0,557,367,405,829,1005,893,832,1028,572,965,604,930,856,2669,4435,3263,2948,2313,4989,2891,3979,2430,2129,1502,2437,7248,6056,7678,6913,6364,9070,8182,6740,5703,1964,2164,1439,2401
Чувашская Республика (Чебоксары),1454,1187,651,1139,702,996,827,1294,1060,877,1140,804,1200,886,969,953,836,877,1669,1627,1691,1057,1994,1429,2570,1394,1475,1429,2037,2110,1913,1521,1261,1675,2009,2173,2031,2131,1857,1019,299,374,254,557,0,924,934,478,1031,542,649,845,389,1456,1095,1421,1347,3024,4926,3289,3439,2804,5480,3382,4470,2921,2620,1993,2928,7603,6365,8169,7404,6855,9410,8673,7231,5931,1939,1840,1900,2376
Пермский край,2068,1788,1180,1841,1192,1587,1073,1908,1752,1467,1754,1453,1801,1604,1529,1567,1152,1467,1864,1195,1653,1111,2418,1675,2532,1640,1721,1675,2599,2672,2475,2071,1823,2349,2559,2723,2593,2681,2419,851,835,1092,704,367,924,0,485,930,1260,1260,1199,1395,939,747,386,712,638,2368,4217,3288,2730,2095,4771,2673,3761,2212,1911,1284,2219,6947,5836,7460,6695,6146,8760,7964,6522,5504,2049,2491,1168,2486
Кировская область,1594,1314,706,1367,718,1123,599,1434,1288,993,1280,979,1327,1258,1055,1093,678,993,1390,721,1179,637,1944,1201,2058,1166,1247,1201,2388,2516,2235,1966,1667,1949,2454,2597,2382,2576,2263,1021,873,780,742,405,934,485,0,456,1410,948,1223,1290,977,1222,861,1187,1113,4009,4692,3668,3205,2570,5246,3148,4236,2687,2386,1759,2694,8588,7049,7935,7170,6621,10401,8439,6997,6436,1564,2260,1653,2001
